,Distributor Name,Sale Flag,Invoice No,Client Code,Client Name,Client Type,Brick Name,Team,Pack Code,Product,Description,Batch,Invoice Date,Units,Bonus,Discount,Price,Value Np
,AHMAD SAEED MEDICINE DISTRIBUTORS - MIANWALI,S,190715,74,DR AMEER AHMAD/DAUD KHEL./-,Doctor,DAUD KHEL,Falcons,PV13231,EvoCheck Go,BGM Test Strip 50's,B031514,07/10/2025,1,0,0,1450.85,1450.85
,AHMAD SAEED MEDICINE DISTRIBUTORS - MIANWALI,R,24831,74,DR AMEER AHMAD/DAUD KHEL./-,Doctor,DAUD KHEL,Falcons,PV13231,EvoCheck Go,BGM Test Strip 50's,B031514,11/10/2025,-1,0,0,1450.85,-1450.85
,AHMAD SAEED MEDICINE DISTRIBUTORS - MIANWALI,S,190715,74,DR AMEER AHMAD/DAUD KHEL./-,Doctor,DAUD KHEL,Falcons,PV13230,EvoCheck Go,BGM Meter Kit,Q24C201BP,07/10/2025,1,0,0,3000,3000
,AHMAD SAEED MEDICINE DISTRIBUTORS - MIANWALI,R,24831,74,DR AMEER AHMAD/DAUD KHEL./-,Doctor,DAUD KHEL,Falcons,PV13230,EvoCheck Go,BGM Meter Kit,Q24C201BP,11/10/2025,-1,0,0,3000,-3000
,AHMAD SAEED MEDICINE DISTRIBUTORS - MIANWALI,S,191537,841,SUBHAN MEDICAL STORE/TARAG/-,Retail,ISA KHEL,Falcons,PV13231,EvoCheck Go,BGM Test Strip 50's,B031576,16/10/2025,1,0,0,1450.85,1450.85
,AHMAD SAEED MEDICINE DISTRIBUTORS - MIANWALI,S,190556,36,ATTIQUE & SONS PHARMACY/KUNDIAN/-,Retail,KUNDIAN,Falcons,PV10002,EvoCheck,GS700 BGM Test Strips 50's,212512204,06/10/2025,1,0,0,2241.36,2241.36
,AHMAD SAEED MEDICINE DISTRIBUTORS - MIANWALI,S,190556,36,ATTIQUE & SONS PHARMACY/KUNDIAN/-,Retail,KUNDIAN,Falcons,PV13230,EvoCheck Go,BGM Meter Kit,Q24C201BP,06/10/2025,1,0,0,3000,3000
,AHMAD SAEED MEDICINE DISTRIBUTORS - MIANWALI,S,191150,36,ATTIQUE & SONS PHARMACY/KUNDIAN/-,Retail,KUNDIAN,Falcons,PV13231,EvoCheck Go,BGM Test Strip 50's,B031514,13/10/2025,1,0,0,1450.85,1450.85
,AHMAD SAEED MEDICINE DISTRIBUTORS - MIANWALI,R,24891,753,AHMED PHARMACY/JALALPUR TEHSIL ISAKHEL/-,Retail,PIPLAN,Falcons,PV10002,EvoCheck,GS700 BGM Test Strips 50's,212512204,18/10/2025,-1,0,0,2241.36,-2241.36
,AHMAD SAEED MEDICINE DISTRIBUTORS - MIANWALI,S,191900,578,PIPLAN PHAMRACY/PIPLAN/-,Retail,PIPLAN,Falcons,PV13231,EvoCheck Go,BGM Test Strip 50's,B031514,20/10/2025,3,0,0,1450.85,4352.55
,AHMAD SAEED MEDICINE DISTRIBUTORS - MIANWALI,S,191900,578,PIPLAN PHAMRACY/PIPLAN/-,Retail,PIPLAN,Falcons,PV10002,EvoCheck,GS700 BGM Test Strips 50's,212512204,20/10/2025,3,0,0,2241.36,6724.08
,AHMAD SAEED MEDICINE DISTRIBUTORS - MIANWALI,S,191857,34,ABDULLAH PHARMACY/FAISAL CHOWK KUNDIAN/-,Retail,KUNDIAN,Falcons,PV13231,EvoCheck Go,BGM Test Strip 50's,B031514,20/10/2025,1,0,0,1450.85,1450.85
,AHMAD SAEED MEDICINE DISTRIBUTORS - MIANWALI,S,191196,339,DR TARIQ AZIZ MEMON/CHASMA/-,Doctor,CHASHMA,Falcons,PV13231,EvoCheck Go,BGM Test Strip 50's,B031514,13/10/2025,1,0,0,1450.85,1450.85
,AHMAD SAEED MEDICINE DISTRIBUTORS - MIANWALI,S,191151,583,HAFEEZ SHAH PHARMACY/FAISAL CHOK KUNDIAN/-,Retail,KUNDIAN,Falcons,PV13231,EvoCheck Go,BGM Test Strip 50's,B031514,13/10/2025,2,0,0,1450.85,2901.7
,AHMAD SAEED MEDICINE DISTRIBUTORS - MIANWALI,S,190635,583,HAFEEZ SHAH PHARMACY/FAISAL CHOK KUNDIAN/-,Retail,KUNDIAN,Falcons,PV10002,EvoCheck,GS700 BGM Test Strips 50's,212512204,06/10/2025,2,0,0,2241.36,4482.72
,AHMAD SAEED MEDICINE DISTRIBUTORS - MIANWALI,R,24832,583,HAFEEZ SHAH PHARMACY/FAISAL CHOK KUNDIAN/-,Retail,KUNDIAN,Falcons,PV10002,EvoCheck,GS700 BGM Test Strips 50's,212512204,11/10/2025,-2,0,0,2241.36,-4482.72
,AL-RAZZAK ENTERPRISES - KARACHI,S,SI-5282,10000023,"Ahsan & Bros.  Med. / Gen Store, OT/H# A-174, Peeraad Colony No 1, Banaras, Orangi Town, Karachi./-",Retail,Orangi Town,Falcons,PV13230,EvoCheck Go,BGM Meter Kit,Q25D141BP,06/10/2025,2,1,0,3000,6000
,AL-RAZZAK ENTERPRISES - KARACHI,S,SI-5282,10000023,"Ahsan & Bros.  Med. / Gen Store, OT/H# A-174, Peeraad Colony No 1, Banaras, Orangi Town, Karachi./-",Retail,Orangi Town,Falcons,PV10002,EvoCheck,GS700 BGM Test Strips 50's,212481401,06/10/2025,2,0,0,2241.36,4482.72
,AL-RAZZAK ENTERPRISES - KARACHI,S,SI-5300,10000033,"Counter Sale/Block M, North Nazimabad, Karachi./-",Retail,North Nazimabad,Falcons,PV10001,EvoCheck,GM700S BGM Meter Kit,212510812,17/10/2025,2,0,0,4800,9600
,AL-RAZZAK ENTERPRISES - KARACHI,S,SI-5300,10000033,"Counter Sale/Block M, North Nazimabad, Karachi./-",Retail,North Nazimabad,Falcons,PV10002,EvoCheck,GS700 BGM Test Strips 50's,212481401,17/10/2025,4,0,0,2241.36,8965.44
,AL-RAZZAK ENTERPRISES - KARACHI,S,SI-5281,10000041,"Seven86 Medicos, GJ/B-242, Blk-15, KDA Scheme 36, Gulistan-e-Johar, Karachi./-",Retail,Gulistan-e-Johar,Falcons,PV10001,EvoCheck,GM700S BGM Meter Kit,212510812,01/10/2025,35,0,105823,4800,62177
,AL-RAZZAK ENTERPRISES - KARACHI,S,SI-5287,10000041,"Seven86 Medicos, GJ/B-242, Blk-15, KDA Scheme 36, Gulistan-e-Johar, Karachi./-",Retail,Gulistan-e-Johar,Falcons,PV10001,EvoCheck,GM700S BGM Meter Kit,212510812,10/10/2025,15,0,45352.8,4800,26647.2
,AL-RAZZAK ENTERPRISES - KARACHI,S,SI-5291,10000041,"Seven86 Medicos, GJ/B-242, Blk-15, KDA Scheme 36, Gulistan-e-Johar, Karachi./-",Retail,Gulistan-e-Johar,Falcons,PV13269,EvoCheck,Weighing Scale (Black),0,11/10/2025,10,1,0,2644.07,26440.7
,AL-RAZZAK ENTERPRISES - KARACHI,S,SI-5281,10000041,"Seven86 Medicos, GJ/B-242, Blk-15, KDA Scheme 36, Gulistan-e-Johar, Karachi./-",Retail,Gulistan-e-Johar,Falcons,PV10002,EvoCheck,GS700 BGM Test Strips 50's,212481101,01/10/2025,30,0,3362.04,2241.36,63878.76
,AL-RAZZAK ENTERPRISES - KARACHI,S,SI-5281,10000041,"Seven86 Medicos, GJ/B-242, Blk-15, KDA Scheme 36, Gulistan-e-Johar, Karachi./-",Retail,Gulistan-e-Johar,Falcons,PV10002,EvoCheck,GS700 BGM Test Strips 50's,212481401,01/10/2025,20,0,2241.36,2241.36,42585.84
,AL-RAZZAK ENTERPRISES - KARACHI,S,SI-5287,10000041,"Seven86 Medicos, GJ/B-242, Blk-15, KDA Scheme 36, Gulistan-e-Johar, Karachi./-",Retail,Gulistan-e-Johar,Falcons,PV10002,EvoCheck,GS700 BGM Test Strips 50's,212481401,10/10/2025,40,0,4482.72,2241.36,85171.68
